Location	Zip Code	Year 1	Year 2	Year 3	Year 4	Year 5
Location-1994	81480	43.6	30.1	24.6	1.4	16.1
Location-1995	62142	22.7	12.6	5.5	1.2	2.4
Location-1996	47673	45.3	44.0	6.4	41.9	32.1
Location-1997	84699	23.0	41.9	8.8	4.5	3.1
Location-1998	19952	44.6	35.3	10.7	25.4	30.5
Location-1999	11878	47.7	37.5	3.6	25.0	34.0
Location-2	81279	23.6	26.4	20.5	11.5	16.8
Location-20	28664	41.8	40.8	26.8	30.2	44.1
Location-200	79163	34.0	46.3	40.3	29.4	18.9
Location-2000	96896	3.5	48.5	6.8	35.2	14.4
Location-2001	97434	36.0	40.9	47.2	32.5	5.3
Location-2002	95244	2.7	22.2	12.2	42.9	49.9
Location-2003	60239	35.7	6.9	15.7	48.6	12.8
Location-2004	70651	7.7	3.5	10.5	40.1	27.0
Location-2005	21103	27.7	14.0	39.6	20.5	12.7
Location-2006	24836	43.5	28.7	21.9	1.5	33.3
Location-2007	59700	1.8	8.4	19.7	39.0	40.0
Location-2008	10432	48.5	39.6	22.4	13.8	5.8
Location-2009	18763	27.7	5.8	4.8	2.3	30.1
Location-201	89301	40.7	24.3	40.8	48.0	14.7
Location-2010	27086	47.8	30.6	9.1	30.9	46.0
Location-2011	24882	49.3	10.3	46.1	36.8	39.2
Location-2012	56522	40.0	44.3	14.0	24.9	12.2
Location-2013	66759	5.4	3.4	29.2	42.3	46.7
Location-2014	89088	26.4	42.2	21.7	13.6	34.4
Location-2015	75947	18.9	26.0	10.9	2.9	33.9
Location-2016	74857	26.9	16.7	42.6	23.8	45.0
Location-2017	21075	30.2	38.7	39.2	12.5	36.4
Location-2018	86398	30.4	7.1	19.6	22.4	44.1
Location-2019	94116	3.9	48.4	23.8	13.0	41.6
Location-202	96026	42.4	35.0	1.5	33.4	40.0
Location-2020	45824	9.7	46.5	4.7	49.4	40.5
Location-2021	33242	25.6	49.2	18.2	22.9	30.0
Location-2022	93500	35.0	8.6	40.4	4.8	3.9
Location-2023	78078	15.5	48.0	40.5	14.7	39.4
Location-2024	61686	14.1	19.3	46.5	39.5	32.6
Location-2025	78503	12.9	26.8	2.4	34.1	24.1
Location-2026	85011	11.2	46.2	45.8	7.5	46.4
Location-2027	37393	11.3	10.2	18.1	28.7	8.2
Location-2028	99916	10.4	3.3	13.8	3.3	40.0
Location-2029	22982	46.5	33.8	7.3	13.6	38.9
Location-203	11589	36.7	49.7	14.3	24.5	27.2
Location-2030	67267	31.3	29.8	19.5	17.0	32.6
Location-2031	89230	14.7	30.7	21.1	10.2	28.9
Location-2032	67771	25.6	36.0	14.7	2.1	42.8
Location-2033	46405	47.1	43.0	4.1	29.6	32.2
Location-2034	95697	10.9	48.1	5.5	26.4	1.7
Location-2035	52735	4.4	37.0	34.2	25.2	1.3
Location-2036	49771	37.7	22.2	7.4	39.9	4.5
Location-2037	50781	24.8	15.0	28.3	3.0	24.3
Location-2038	54698	44.5	26.1	15.7	21.9	41.9
Location-2039	16900	20.7	39.8	37.7	8.5	35.0
Location-204	17982	49.4	29.2	35.6	24.8	13.6
Location-2040	82351	49.9	34.0	45.0	36.3	35.4
Location-2041	32570	16.7	2.4	24.6	17.2	22.9
Location-2042	29104	10.5	43.2	18.0	38.1	30.6
Location-2043	46484	2.6	13.0	44.8	31.7	23.8
Location-2044	30409	29.3	49.7	23.0	7.3	37.3
Location-2045	78297	4.3	10.4	34.9	39.2	16.1
Location-2046	59079	13.1	15.3	11.4	2.9	24.2
Location-2047	19516	42.0	27.6	27.6	48.1	43.1
Location-2048	87160	5.1	38.3	1.3	36.1	39.8
Location-2049	62958	43.1	2.2	10.1	10.5	12.3
Location-205	64432	48.2	24.7	2.1	32.6	1.2
Location-2050	17823	5.6	29.0	40.4	45.2	33.7
Location-2051	58920	34.7	41.6	33.1	14.7	46.0
Location-2052	14367	41.2	30.1	45.7	11.0	34.1
Location-2053	81138	40.7	30.6	31.4	32.4	32.1
Location-2054	55226	7.4	29.9	32.1	18.1	40.9
Location-2055	66691	5.6	11.1	20.3	39.4	1.6
Location-2056	91665	17.6	8.1	25.7	34.3	25.5
Location-2057	60802	10.1	25.9	35.6	8.5	49.7
Location-2058	19341	26.4	24.1	42.4	9.8	43.6
Location-2059	23663	5.4	48.8	45.4	25.8	33.7
Location-206	64912	26.3	15.3	18.1	31.3	15.0
Location-2060	88402	45.0	17.1	3.6	23.0	45.8
Location-2061	38244	36.2	29.8	6.0	47.3	4.7
Location-2063	11620	47.7	3.3	37.8	10.6	40.1
Location-2064	32185	1.7	16.2	33.9	34.8	32.3
Location-2065	53697	1.8	26.1	8.5	26.9	39.1
Location-2066	69212	23.1	42.5	4.0	44.3	40.4
Location-2067	25464	28.2	35.8	5.9	27.9	37.7
Location-2068	91333	5.0	36.5	14.2	16.4	36.5
Location-2069	68788	49.6	30.4	11.4	10.9	11.6
Location-207	92021	8.0	15.0	45.1	34.1	28.7
Location-2070	84275	20.1	32.9	10.8	3.9	42.6
Location-2071	29704	14.1	13.1	39.3	13.6	9.7
Location-2072	72873	18.0	12.7	46.2	10.0	2.2
Location-2073	34375	22.1	7.8	17.1	48.3	24.1
Location-2074	89993	17.6	7.9	19.6	27.1	44.0
Location-2075	37488	26.3	19.3	18.7	14.5	7.2
Location-2076	27259	2.9	48.8	41.4	28.8	19.0
Location-2077	51388	29.0	19.1	48.9	6.0	24.8
Location-2078	17511	3.4	10.0	3.2	37.9	20.5
Location-2079	25391	5.0	22.7	19.8	39.2	1.1
Location-208	63114	26.4	14.4	38.9	35.1	14.0
Location-2080	32169	1.5	36.0	13.1	14.1	45.0
Location-2081	45449	9.6	43.4	28.8	5.6	11.2
Location-2082	93142	44.6	13.2	1.9	23.5	25.6
Location-2083	48969	34.2	32.0	4.1	6.4	40.6
Location-2084	80455	26.3	47.8	27.8	40.6	37.9
Location-2085	44234	10.4	7.4	11.8	47.8	42.0
Location-2086	83868	32.6	46.5	24.1	31.9	6.3
Location-2087	20892	19.2	47.3	20.8	26.2	30.3
Location-2088	79038	6.6	20.3	23.3	25.5	22.7
Location-2089	17376	25.5	5.2	7.9	13.9	15.7
Location-209	54494	20.1	12.5	3.1	49.8	37.3
Location-2090	74784	37.1	17.7	25.7	41.4	9.0
Location-2091	61094	12.8	10.3	29.0	31.9	8.1
Location-2092	91504	35.0	40.3	25.9	23.7	23.1
Location-2094	89673	41.4	11.7	33.7	22.1	5.4
Location-2095	86493	18.3	7.3	26.7	2.1	9.8
Location-2096	79998	38.2	23.3	25.9	45.1	42.3
Location-2097	60139	23.0	21.6	44.9	28.9	6.3
Location-2098	64221	28.7	5.1	29.2	15.0	1.3
Location-2099	77288	9.0	27.5	18.3	5.4	10.5
Location-21	42786	33.5	27.9	41.7	5.5	24.8
Location-210	95522	33.3	44.3	1.7	27.5	48.1
Location-2100	93670	27.8	18.7	37.1	42.5	35.0
Location-2101	62391	27.8	28.4	44.9	16.8	11.1
Location-2102	73089	35.7	17.5	10.3	2.8	31.9
Location-2103	90879	31.6	33.1	20.3	24.6	46.5
Location-2104	54678	11.7	47.1	42.0	3.8	31.1
Location-2105	98815	28.5	40.8	31.7	46.5	3.7
Location-2106	42454	20.6	47.4	30.4	22.4	24.2
Location-2107	95594	12.9	8.0	17.8	45.3	16.7
Location-2108	11038	44.1	5.2	4.1	17.4	37.4
Location-2109	77739	47.9	32.3	11.8	3.5	21.1
Location-211	94199	27.3	11.0	41.5	23.0	36.9
Location-2110	84794	17.9	29.1	34.2	27.9	15.1
Location-2111	33214	32.6	44.0	1.0	48.2	33.6
Location-2112	33931	6.8	23.4	18.0	37.6	2.2
Location-2113	40358	43.8	29.1	42.2	43.5	20.8
Location-2114	90035	8.6	19.1	45.0	26.5	7.1
Location-2115	48990	21.0	5.5	41.2	47.7	6.9
Location-2116	22230	42.7	15.8	43.3	43.1	39.5
Location-2117	90626	16.8	17.5	13.0	27.0	2.4
Location-2118	91851	38.0	11.0	33.2	40.0	4.2
Location-2119	31199	27.5	26.8	41.8	34.9	4.8
Location-212	33665	38.0	14.0	5.9	27.9	25.0
Location-2120	96571	19.2	30.6	47.6	16.0	7.8
Location-2121	78387	44.3	37.4	11.1	38.3	42.0
Location-2122	58861	15.3	9.7	31.5	22.4	10.4
Location-2123	79689	26.2	30.4	23.9	7.0	31.9
Location-2124	41632	37.7	40.3	42.2	2.0	29.7
Location-2125	96169	28.5	4.4	47.6	44.3	44.3
Location-2126	21779	3.7	9.6	5.4	25.4	8.9
Location-2127	65997	49.3	34.8	26.7	28.1	48.8
Location-2128	13902	45.7	33.9	22.5	12.7	45.4
Location-2129	31423	4.8	49.0	44.1	35.0	2.2
Location-213	56359	40.6	5.2	38.1	18.4	4.8
Location-2130	51948	14.5	21.0	6.8	11.2	3.3
Location-2131	48981	43.5	9.0	20.1	28.4	28.1
Location-2132	89744	8.3	41.7	28.1	9.1	13.4
Location-2133	49572	12.6	46.4	47.1	4.7	12.7
Location-2134	72974	12.8	30.8	4.8	4.4	43.8
Location-2135	52163	14.7	12.9	42.0	35.7	8.3
Location-2137	86096	36.1	16.9	45.5	16.6	9.3
Location-2138	58798	26.3	35.8	8.4	34.8	40.5
Location-2139	99211	46.1	25.5	20.6	15.4	16.4
Location-214	62803	39.9	15.4	40.1	5.2	48.7
Location-2140	51809	12.7	24.6	24.5	49.8	9.4
Location-2141	42216	7.2	49.8	6.3	8.3	40.8
Location-2142	48316	37.2	37.9	21.6	33.5	24.6
Location-2143	70569	18.0	39.5	11.9	9.8	28.1
Location-2144	78979	10.1	27.8	32.4	30.7	39.5
Location-2145	14914	29.2	21.7	4.4	18.8	27.8
Location-2146	80941	16.0	47.0	14.2	27.2	17.3
Location-2147	15687	48.5	12.6	12.2	30.4	24.1
Location-2148	86303	47.4	1.7	38.1	5.3	45.8
Location-2149	25033	44.1	8.9	49.9	47.8	25.1
Location-215	13216	17.1	40.2	31.1	20.6	9.3
Location-2150	61484	37.9	42.9	5.2	16.5	11.9
Location-2151	13618	4.3	7.8	25.5	21.4	32.7
Location-2152	16168	7.9	21.4	24.6	30.2	20.5
Location-2153	52433	21.1	21.6	1.6	22.2	19.2
Location-2154	25230	47.7	22.3	43.7	23.5	48.8
Location-2155	80250	21.7	19.7	44.7	13.8	10.2
Location-2156	37397	38.7	2.0	40.2	1.0	22.8
Location-2157	51321	23.1	20.0	34.6	15.6	29.2
Location-2158	27264	46.4	42.6	15.2	35.0	14.6
Location-2159	91286	5.8	14.5	29.8	6.4	9.7
Location-216	93464	18.3	43.8	29.9	46.7	5.8
Location-2160	39951	26.2	31.9	42.7	17.1	24.9
Location-2161	82136	24.2	38.2	23.2	18.1	44.3
Location-2162	51444	33.7	31.9	41.8	8.7	44.3
Location-2163	68293	7.2	25.1	29.4	39.5	21.8
Location-2164	14971	19.4	2.0	8.5	47.0	42.7
Location-2165	89423	6.6	25.0	41.8	22.6	37.7
Location-2166	93700	49.8	8.0	25.8	25.7	4.0
Location-2167	16401	25.8	26.7	48.2	47.3	9.5
Location-2168	58023	14.0	36.2	35.7	22.9	46.5
Location-2169	53057	25.9	12.2	44.1	32.4	9.3
Location-217	20121	11.0	33.7	5.3	26.1	40.5
Location-2170	50993	15.9	49.4	24.9	23.4	19.2
Location-2171	87497	10.6	47.5	10.4	41.0	47.2
Location-2172	14814	11.0	38.9	13.0	6.6	18.7
Location-2173	62201	30.2	31.7	2.5	44.8	45.7
Location-2174	39927	25.1	23.2	5.5	1.7	19.3
Location-2175	62589	8.0	37.1	42.2	26.7	17.3
Location-2176	92819	1.2	27.3	43.4	33.9	25.8
Location-2178	44749	42.7	15.2	14.6	48.3	15.1
Location-2179	98231	45.1	24.8	38.7	26.3	3.5
Location-218	18645	46.4	7.1	8.4	21.3	44.5
Location-2180	47780	46.8	46.9	45.1	11.9	44.7
Location-2181	30187	18.9	32.7	25.6	31.8	42.0
Location-2182	67213	27.0	40.3	40.1	10.3	6.4
Location-2183	46712	25.3	33.6	38.5	31.1	24.4
Location-2184	92961	5.4	3.3	33.6	25.4	5.8
Location-2185	82959	45.7	10.1	21.7	5.2	33.0
Location-2186	77450	41.0	47.6	33.9	39.3	39.5
Location-2187	20460	3.3	41.3	15.3	26.1	38.5
Location-2188	20684	6.6	33.8	31.8	47.2	15.6
Location-2189	24415	27.7	34.2	18.3	32.8	4.3
Location-219	53579	38.1	41.7	16.2	19.3	25.9
Location-2190	42038	42.1	37.8	5.1	24.4	43.8
Location-2191	66227	26.1	19.9	14.1	49.1	10.8
Location-2192	54899	8.2	11.3	35.4	36.1	37.0
Location-2193	88018	41.5	22.2	20.7	6.5	47.2
Location-2194	95913	46.2	48.6	12.9	26.9	36.6
Location-2195	27405	44.4	9.3	7.7	14.3	40.9
Location-2196	36192	32.3	17.8	35.7	7.0	38.4
Location-2197	72145	25.0	33.9	1.1	20.2	18.4
Location-2198	57396	30.0	11.8	36.3	36.4	35.4
Location-2199	68889	10.9	27.6	33.6	31.9	24.0
Location-22	81362	47.2	17.7	26.7	46.6	11.1
Location-220	36917	40.5	6.8	24.2	11.3	15.0
Location-2200	80695	32.9	47.3	35.2	12.3	44.7
Location-2201	30982	26.3	30.3	26.4	18.5	24.7
Location-2202	70258	28.6	46.3	24.5	46.5	41.2
Location-2203	61894	4.2	1.1	28.1	27.0	11.3
Location-2204	59207	6.7	41.6	24.6	5.3	21.1
Location-2205	31082	11.4	47.8	27.4	29.7	26.0
Location-2206	89803	49.5	15.0	2.3	9.5	10.1
Location-2207	34682	25.6	15.0	44.0	41.4	49.4
Location-2208	23915	1.6	38.4	49.9	37.3	31.6
Location-2209	49538	27.9	9.6	21.1	16.6	16.2
Location-221	13608	48.0	12.7	4.1	26.2	11.5
Location-2210	57654	34.7	5.1	15.4	34.6	31.6
Location-2211	28779	32.2	32.2	42.8	45.9	44.3
Location-2212	78866	36.9	31.2	20.9	41.2	36.8
Location-2213	52406	47.1	26.5	31.5	33.9	48.4
Location-2214	27424	31.0	12.4	13.0	15.3	34.2
Location-2215	75353	24.9	19.8	34.4	8.2	6.9
Location-2216	79559	2.5	1.7	30.5	14.8	19.7
Location-2217	38287	44.9	28.5	4.5	11.9	22.9
Location-2218	64686	48.3	44.4	32.6	1.4	48.3
Location-2219	43372	8.0	5.4	23.5	46.8	45.1
Location-222	82914	14.9	49.8	11.2	8.7	14.8
Location-2220	34150	31.6	49.2	30.5	2.2	32.7
Location-2221	69486	20.3	1.2	16.7	28.9	2.8
Location-2223	34183	38.7	27.9	32.9	32.1	39.2
Location-2225	75633	2.0	9.0	40.7	15.1	33.5
Location-2226	80618	39.3	43.0	34.3	30.4	21.8
Location-2227	15952	20.7	11.3	46.3	42.3	17.4
Location-2228	81743	17.5	7.5	8.5	27.7	27.3
Location-2229	80775	28.6	25.3	19.2	24.7	37.5
Location-223	14921	42.5	29.3	28.2	20.9	23.7
Location-2230	23159	38.7	21.7	14.3	11.5	39.4
Location-2231	37870	44.8	18.9	46.4	14.9	5.1
Location-2232	27109	49.1	1.3	25.2	8.0	1.4
Location-2233	23504	43.9	19.6	6.4	25.5	19.4
Location-2234	37569	15.8	48.0	43.1	49.8	50.0
Location-2235	67018	36.7	37.4	24.2	18.4	8.2
Location-2236	42632	28.2	44.0	4.5	32.7	3.8
Location-2237	22741	23.9	9.1	41.6	43.9	24.0
Location-2238	53217	10.2	16.6	2.7	4.3	16.1
Location-2239	30595	46.4	39.3	34.6	32.9	4.1
Location-224	11922	24.5	15.9	36.6	39.4	16.8
Location-2241	57587	20.6	16.0	43.6	25.6	46.1
Location-2242	77100	38.2	36.7	39.0	13.6	7.4
Location-2243	27460	38.9	48.9	37.4	28.9	44.3
Location-2244	42294	36.3	49.4	11.4	31.6	30.7
Location-2246	55282	5.8	12.0	19.9	49.5	10.9
Location-2247	30334	34.0	42.3	37.7	11.6	10.3
Location-2248	33642	39.9	15.5	7.0	22.1	24.6
Location-2249	29738	41.4	17.6	9.2	30.4	42.3
Location-225	35213	44.4	43.6	10.8	8.8	2.1
Location-2250	68575	18.8	16.3	16.9	26.6	36.3
Location-2251	64937	5.9	36.9	23.0	6.9	11.7
Location-2252	71164	24.9	39.3	28.8	17.6	7.6
Location-2253	97226	38.2	19.8	17.5	46.6	26.2
Location-2254	15833	41.6	9.8	44.5	29.1	22.0
Location-2255	13068	13.7	9.0	14.5	22.3	29.4
Location-2256	62193	43.0	36.1	47.6	37.3	22.8
Location-2257	93834	46.0	16.1	40.3	15.3	38.0
Location-2258	68641	13.9	15.9	17.8	20.0	17.1
Location-2259	94929	16.8	9.4	36.5	42.3	41.6
Location-226	98128	8.7	8.0	6.5	36.2	19.0
Location-2260	26724	37.5	26.2	12.0	43.6	27.3
Location-2261	51895	14.7	26.4	18.1	1.8	3.4
Location-2262	14785	30.3	42.2	43.2	29.1	16.4
Location-2263	96642	3.3	10.4	39.1	46.3	48.9
Location-2264	57409	11.8	40.8	22.3	13.6	29.5
Location-2265	40889	24.4	8.9	31.1	46.7	26.7
Location-2266	38730	30.6	45.8	45.2	8.4	39.4
Location-2267	73369	6.7	38.3	46.3	36.4	41.5
Location-2268	34474	13.4	16.3	27.8	16.2	2.7
Location-2269	28631	5.5	1.1	18.1	7.9	38.5
Location-227	22182	25.1	13.9	35.9	16.4	49.5
Location-2270	45994	45.0	38.5	24.0	33.4	47.0
Location-2271	81997	8.7	6.5	39.6	43.3	36.2
Location-2272	67792	3.0	24.0	21.8	16.5	45.3
Location-2273	64558	11.6	45.2	31.6	28.2	25.6
Location-2274	66066	17.5	22.4	7.2	6.4	25.3
Location-2275	51712	36.1	23.9	38.2	12.4	17.6
Location-2276	63110	44.6	23.7	48.5	39.5	46.6
Location-2277	73239	30.1	34.8	42.6	7.0	46.4
Location-2278	35029	33.7	45.9	46.4	11.6	27.7
Location-2279	45172	38.0	17.5	34.8	18.0	36.1
Location-228	87682	6.8	42.3	9.2	43.5	48.2
Location-2280	92092	36.1	1.7	19.2	32.0	5.7
Location-2281	53306	13.6	7.3	22.1	3.3	18.2
Location-2282	93459	39.5	46.6	19.4	49.1	4.6
Location-2283	93878	25.4	21.4	8.8	19.7	19.2
Location-2284	48027	38.6	5.1	34.2	26.9	20.2
Location-2285	27646	14.0	43.5	45.2	18.0	14.5
Location-2286	27723	17.9	20.9	9.2	1.8	22.7
Location-2287	15255	25.0	37.8	37.9	39.8	1.8
Location-2288	70812	38.0	5.9	30.9	11.6	25.8
Location-2289	15408	13.9	6.0	8.2	35.5	17.1
Location-229	24530	39.9	45.4	28.5	37.7	44.5
Location-2290	67912	42.7	32.0	46.5	8.8	28.2
Location-2291	21098	49.5	9.3	15.3	16.5	15.3
Location-2292	92193	42.5	49.1	8.9	22.6	2.6
Location-2293	22585	3.6	5.7	22.9	45.0	39.8
Location-2294	32295	38.2	42.0	26.8	33.8	23.1
Location-2295	23360	28.3	6.2	43.2	4.3	42.3
Location-2296	50129	2.4	35.6	48.6	6.7	12.1
Location-2297	55897	32.1	34.0	3.4	21.5	16.7
Location-2298	71760	38.9	29.9	14.9	39.1	33.7
Location-2299	56126	12.5	32.5	1.6	20.2	2.9
Location-23	60225	29.4	18.5	34.7	47.9	33.0
Location-230	99407	9.1	15.3	28.3	14.7	18.3
Location-2300	87541	34.9	10.1	20.1	4.4	14.5
Location-2301	39753	26.8	20.6	27.4	32.7	4.6
Location-2302	80792	48.4	49.7	36.5	11.6	20.7
Location-2303	45419	32.9	10.6	41.4	38.3	14.3
Location-2304	68260	25.1	20.4	39.0	10.9	36.0
Location-2305	70631	48.8	34.3	48.4	43.7	9.9
Location-2306	35251	7.5	33.3	16.4	39.4	47.5
Location-2307	43764	41.0	46.8	7.9	25.6	2.1
Location-2308	45622	25.9	22.2	40.1	35.4	27.5
Location-2309	34237	13.9	22.0	37.9	23.1	30.5
Location-231	46535	1.4	40.6	31.2	8.2	23.8
Location-2310	26495	9.9	31.2	4.7	20.3	22.1
Location-2311	50553	39.7	13.6	10.2	5.1	18.9
Location-2312	83344	42.4	12.9	30.8	16.1	10.2
Location-2313	93628	23.4	12.7	37.2	40.7	34.6
Location-2314	93474	10.7	2.3	20.0	2.3	8.9
Location-2315	11100	2.7	4.2	47.8	23.4	44.6
Location-2316	52261	25.2	33.6	13.8	46.9	2.9
Location-2317	19534	28.3	30.8	45.6	48.9	25.9
Location-2318	81670	18.5	23.4	19.3	20.7	25.0
Location-2319	71883	8.4	44.3	50.0	30.2	30.9
Location-232	75267	31.8	33.4	28.7	6.1	34.7
Location-2320	20146	7.6	1.4	23.1	5.4	49.6
Location-2321	42772	11.9	23.2	12.2	25.1	30.9
Location-2322	35148	38.7	38.8	9.8	14.2	34.8
Location-2323	40846	45.0	20.7	21.6	46.4	14.1
Location-2324	51538	18.8	38.2	3.0	7.9	27.1
Location-2325	14089	48.9	46.4	36.0	47.1	13.6
Location-2326	82490	7.2	5.8	40.5	47.1	49.1
Location-2327	84326	20.5	3.4	4.8	5.6	2.1
Location-2328	60429	29.3	17.4	17.3	2.2	12.1
Location-2329	13038	40.4	42.8	7.1	2.7	1.5
Location-233	36113	2.7	24.6	40.0	18.6	3.5
Location-2330	37853	43.7	28.3	1.6	28.3	25.6
Location-2331	68012	24.9	22.6	42.0	36.2	41.0
Location-2332	40031	37.2	21.6	12.2	27.5	40.6
Location-2333	32792	1.4	18.6	40.4	46.5	44.0
Location-2334	64099	26.6	4.5	40.4	1.1	46.2
Location-2335	88496	20.8	11.0	13.1	19.4	4.3
Location-2336	21390	34.1	35.3	33.4	45.5	6.7
Location-2338	54416	33.4	42.9	6.3	24.5	7.4
Location-2339	93155	15.1	13.4	14.9	42.4	43.2
Location-234	68107	15.3	13.2	37.1	11.9	35.0
Location-2340	27136	17.9	24.9	2.3	40.3	39.9
Location-2341	84532	44.6	46.8	4.2	41.5	46.7
Location-2342	38099	43.0	43.1	15.7	48.9	17.1
Location-2343	88557	28.0	48.4	40.1	7.3	28.1
Location-2344	25166	39.8	12.2	46.7	12.2	38.5
Location-2345	76841	25.7	10.2	6.9	31.7	47.7
Location-2346	31889	11.1	39.0	7.5	34.5	40.8
Location-2347	65348	32.3	24.2	20.8	9.5	33.1
Location-2348	38339	49.2	19.2	6.3	34.2	33.9
Location-2349	29495	35.8	6.9	42.0	3.0	15.8
Location-235	27752	23.0	2.9	19.0	35.5	21.7
Location-2350	23617	4.5	15.6	8.6	22.0	44.4
Location-2351	96543	34.3	2.0	30.9	28.1	25.8
Location-2352	31727	42.7	39.9	44.9	25.6	47.6
Location-2353	57568	11.3	22.9	10.6	41.8	37.1
Location-2354	88538	39.2	38.4	13.1	31.6	46.8
Location-2355	85966	48.5	9.3	35.2	32.1	34.8
Location-2356	28674	32.0	48.9	2.3	23.9	43.1
Location-2357	28096	46.4	15.8	18.5	48.5	19.1
Location-2358	41551	21.4	15.3	10.4	17.8	44.3
Location-2359	24925	41.5	41.7	7.9	33.1	9.4
Location-236	73455	16.6	12.8	49.4	48.2	2.5
Location-2360	50593	41.3	6.6	31.7	19.3	42.3
Location-2361	94629	20.1	7.4	27.7	39.4	44.1
Location-2362	86508	4.7	41.9	37.7	9.5	21.8
Location-2363	89384	15.7	9.4	41.8	20.6	47.0
Location-2364	89155	26.5	27.6	14.1	30.5	14.7
Location-2365	73343	14.4	9.0	2.6	35.3	1.8
Location-2366	99255	38.0	12.2	18.4	31.0	40.0
Location-2367	86360	30.3	21.4	22.7	31.2	46.1
Location-2368	69905	22.5	17.4	36.3	1.3	25.1
Location-2369	52648	2.1	20.1	6.1	18.1	35.0
Location-237	69369	22.9	26.4	2.7	21.8	36.1
Location-2370	41152	30.9	13.0	30.6	17.8	19.7
Location-2371	83246	6.8	37.0	1.9	44.9	7.0
Location-2372	27622	47.0	6.6	34.4	42.6	21.2
Location-2373	43195	25.0	33.8	21.7	21.1	8.8
Location-2375	87838	3.6	27.1	37.0	30.9	47.9
Location-2376	68463	41.8	17.1	44.9	13.7	18.6
Location-2377	53947	8.1	50.0	29.5	3.6	21.7
Location-2378	74546	41.5	28.4	1.4	33.3	40.1
Location-2379	59868	42.2	17.9	42.8	41.2	28.8
Location-238	21012	4.8	20.4	35.1	34.0	29.4
Location-2380	76629	24.2	46.0	14.2	49.0	42.9
Location-2381	49576	7.3	45.1	44.7	35.9	33.3
Location-2382	28830	34.6	18.9	2.8	5.1	28.0
Location-2383	52012	48.3	19.5	31.8	7.2	40.2
Location-2384	44909	49.5	24.4	30.0	43.5	42.0
Location-2385	60211	30.0	47.5	23.0	3.2	26.6
Location-2386	24224	31.0	23.0	36.6	18.8	44.3
Location-2387	69141	1.9	15.3	14.8	41.3	5.3
Location-2388	73100	9.1	33.5	31.6	37.9	28.2
Location-2389	14951	8.5	35.7	23.2	22.8	24.4
Location-239	54477	32.2	6.8	27.4	26.7	46.0
Location-2390	98512	16.3	12.0	29.9	10.5	2.4
Location-2391	69149	17.1	21.9	21.1	4.6	28.4
Location-2392	35115	8.7	46.2	29.4	5.3	47.4
Location-2393	97717	48.9	33.3	41.2	6.3	13.8
Location-2394	89167	5.4	23.9	49.1	11.7	29.9
Location-2395	79170	4.5	41.3	27.0	41.5	39.7
Location-2396	93317	37.0	26.2	31.5	7.2	6.4
Location-2397	50455	32.6	46.5	16.5	37.1	12.6
Location-2398	66527	26.1	9.7	24.8	21.6	30.1
Location-2399	94226	20.8	3.9	9.7	23.8	42.1
Location-24	24901	35.5	9.1	21.4	12.7	45.0
Location-240	99918	43.5	47.2	37.5	30.9	36.6
Location-2400	30895	41.5	5.1	17.1	23.8	45.3
Location-2401	29654	4.0	8.0	9.9	21.1	40.3
Location-2402	25829	3.6	13.6	7.0	30.6	32.5
Location-2403	18673	33.0	41.9	7.2	47.0	8.0
Location-2404	13887	3.5	9.8	16.6	20.6	9.6
Location-2405	61790	22.3	29.8	46.6	5.9	26.9
Location-2406	27053	47.8	23.0	26.0	32.3	42.9
Location-2407	63654	36.2	29.9	7.7	30.2	16.3
Location-2408	37556	9.3	41.5	38.5	4.2	7.9
Location-2409	33223	21.2	45.2	7.2	6.1	6.7
Location-241	52848	12.5	48.9	6.5	5.8	20.1
Location-2410	42881	49.8	42.1	10.4	43.9	36.7
Location-2411	85761	31.8	25.6	11.7	36.4	49.1
Location-2412	81259	31.2	42.7	21.5	22.6	15.4
Location-2413	51334	41.8	48.1	36.7	31.5	38.6
Location-2414	66214	21.4	34.6	38.0	18.4	19.6
Location-2415	56227	14.4	2.3	37.0	19.5	19.2
Location-2416	72975	5.7	30.4	20.3	3.2	2.4
Location-2417	59220	44.9	15.4	44.0	20.2	27.1
Location-2418	74651	39.4	33.5	9.9	46.3	46.8
Location-2419	24019	41.1	38.1	1.5	41.3	11.9
Location-242	88438	47.7	42.5	39.6	5.6	17.9
Location-2421	65317	35.3	22.8	27.2	47.3	38.1
Location-2422	56084	42.7	18.4	6.6	8.4	44.5
Location-2423	72066	6.7	8.4	28.5	14.5	22.9
Location-2424	46605	28.0	25.7	17.4	16.2	35.3
Location-2425	41984	18.9	1.4	49.5	34.1	2.1
Location-2426	55817	24.5	5.3	26.4	22.2	7.6
Location-2427	33135	37.9	32.6	27.1	40.4	9.1
Location-2428	33820	6.4	15.3	8.6	36.3	17.8
Location-2429	16005	47.1	39.5	19.2	3.4	21.1
Location-243	22374	25.3	18.0	42.8	38.9	17.1
Location-2430	17214	47.7	5.3	46.1	32.5	38.0
Location-2431	11089	13.9	46.6	46.2	37.9	47.5
Location-2432	17252	19.5	38.1	32.9	38.7	43.8
Location-2433	84793	11.7	35.5	3.2	48.5	37.8
Location-2434	35034	32.7	1.3	43.1	11.2	47.4
Location-2435	97933	37.2	23.0	41.4	17.5	37.7
Location-2436	70796	44.1	26.8	40.5	38.0	34.5
Location-2437	23864	40.2	9.8	6.7	19.0	49.3
